time,open,high,low,close,Volume
1585143000,148.91,154.33,144.44,146.92,75638224
1585229400,148.4,156.66,148.37,156.11,64694427
1585315800,151.75,154.89,149.2,149.7,57042291
1585575000,152.44,160.6,150.01,160.23,63420326
1585661400,159.4,164.78,156.56,157.71,77927186
1585747800,153,157.75,150.82,152.11,57969926
1585834200,151.86,155.48,150.36,155.26,49630735
1585920600,155.1,157.38,152.19,153.83,41243284
1586179800,160.32,166.5,157.58,165.27,67111697
1586266200,169.585,170,163.26,163.49,62769038
1586352600,165.67,166.67,163.5,165.13,48318234
1586439000,166.36,167.37,163.33,165.14,51431775
1586784600,164.35,165.57,162.3,165.51,41905264
1586871000,169,173.75,168,173.7,52874338
1586957400,171.2,173.57,169.24,171.88,40940833
1587043800,174.3,177.28,172.9,177.04,50479610
1587130200,179.5,180,175.87,178.6,52765625
1587389400,176.63,178.75,174.99,175.06,36669595
1587475800,173.5,173.6699,166.1102,167.82,56203749
1587562200,171.39,174,170.82,173.52,34651604
1587648600,174.11,175.06,170.91,171.42,32790804
1587735000,172.06,174.56,170.71,174.55,34305320
1587994200,176.59,176.9,173.3,174.05,33194384
1588080600,175.59,175.67,169.39,169.81,34392694
1588167000,173.22,177.68,171.88,177.43,51286559
1588253400,180,180.4,176.23,179.21,53875857
1588339800,175.8,178.64,174.01,174.57,39370474
1588599000,174.49,179,173.8,178.84,30372862
1588685400,180.62,183.65,179.9,180.76,36839168
1588771800,182.08,184.2,181.6306,182.54,32139299
1588858200,184.17,184.55,182.58,183.6,28315992
1588944600,184.9797,185,183.36,184.68,30912638
1589203800,183.15,187.51,182.85,186.74,30892660
1589290200,186.8,187.04,182.3,182.51,32038199
1589376600,182.55,184.05,176.54,179.75,44711488
1589463000,177.54,180.69,175.68,180.53,41873911
1589549400,179.06,187.06,177,183.16,46610382
1589808600,185.75,186.2,183.96,184.91,35306620
1589895000,185.03,186.6,183.49,183.63,26799116
1589981400,184.81,185.85,183.94,185.66,31261334
1590067800,185.4,186.67,183.29,183.43,29119513
1590154200,183.19,184.46,182.54,183.51,20826898
1590499800,186.34,186.5,181.1,181.57,36073609
1590586200,180.2,181.9877,176.6,181.81,39517146
1590672600,180.74,184.1474,180.38,181.4,33831824
1590759000,182.73,184.27,180.41,183.25,42146720
1591018200,182.54,183,181.46,182.83,22668821
1591104600,184.25,185,181.35,184.91,30794585
1591191000,184.815,185.94,183.58,185.36,27311016
1591277400,184.3,185.84,182.3,182.92,28761809
1591363800,182.62,187.73,182.01,187.2,39893643
1591623000,185.94,188.55,184.44,188.36,33211590
1591709400,188,190.7,187.2605,189.8,29783916
1591795800,191.125,198.52,191.01,196.84,43872329
1591882200,193.13,195.76,186.07,186.27,52854672
1591968600,190.54,191.72,185.18,187.74,43373587
1592227800,184.58,190.82,184.01,188.94,32770189
