time,open,high,low,close,Volume
1584106200,187.07,194.48,178.13,192.34,134881981
1584365400,174.15,184.68,169.16,169.3,92054386
1584451800,175.47,184.39,169.78,182.14,121257108
1584538200,171.605,179.22,166.8,176.6,114156320
1584624600,175.69,183.49,171.63,177.66,120896481
1584711000,181.74,182.87,170.1,170.7,118983891
1584970200,170.92,174.21,164.93,170.46,124639782
1585056600,179.91,183.83,177.95,183.66,94881785
1585143000,184.42,189.51,179.98,182.3,88754909
1585229400,183.87,192.72,183.61,191.9,79887564
1585315800,186.93,190.5149,184.66,185.3,58844975
1585575000,187.1,192.49,186.3406,192.04,49356936
1585661400,191.53,195.25,189.2,190.4,62659265
1585747800,184.81,187.66,180.86,182.31,53715375
1585834200,181.59,190.1,180.97,186.01,56465348
1585920600,185.5,187.0716,181.29,183.37,47487621
1586179800,190.38,197.65,189.19,196.48,64763518
1586266200,202.14,202.66,196,196.4,69904478
1586352600,198.0835,201.17,196.1733,200.57,45940439
1586439000,202.27,203.22,199.0281,200.86,68323929
1586784600,199.92,203.42,198.75,203.03,42853948
1586871000,207.17,212.5,206.42,211.86,63959563
1586957400,208.48,211.8338,207.12,209.43,47035953
1587043800,211.78,214.369,209.69,213.25,64657362
1587130200,215.96,216.51,212.0801,215.29,62863223
1587389400,213.27,215.88,212.57,212.74,38249128
1587475800,210.63,211.16,203.63,204.89,72932771
1587562200,209.14,212.35,208.33,210.97,40188772
1587648600,211.8,214.435,210.095,210.52,43278542
1587735000,210.94,214.3,209.5,213.84,34303365
1587994200,216.18,216.63,214.5,215.56,36451698
1588080600,217.27,217.32,211.21,211.5,46862816
1588167000,216.21,219.97,215.14,219,48716406
1588253400,220.01,220.04,217.35,218.91,43359476
1588339800,214.54,216.67,211.68,212.74,48794968
1588599000,211.61,215.45,211.12,215.22,32841020
1588685400,217.4,220.14,216.85,217.66,37783075
1588771800,219.37,221.04,218.11,219,36455218
1588858200,221.75,222.73,220.42,221.82,38624836
1588944600,223.55,225,222.48,224.86,31964416
1589203800,223.5,227.93,223.25,226.87,35714128
1589290200,227.48,228.095,222.09,222.12,41054123
1589376600,222.65,224.61,216.71,219.34,65521208
1589463000,218.12,221.87,215.99,221.83,51549345
1589549400,218.77,223.33,218.33,223.27,55747208
1589808600,226.28,228.68,225.47,227.43,42597551
1589895000,227.66,229.85,226.71,226.86,36237303
1589981400,229.48,231.76,229.48,231.39,37417000
1590067800,231.49,232.135,228.34,228.87,43642908
1590154200,228.46,229.87,227.5,229.66,28762389
1590499800,233.44,233.57,228.79,229.04,33055346
1590586200,228.51,230.41,223.94,230.29,55665565
1590672600,229.05,233.47,229.05,229.99,43008478
1590759000,230.43,233.6,228.76,233.36,50878596
1591018200,232.4,234.45,232,234.06,26140125
1591104600,234.42,235.69,232.01,235.63,33383415
1591191000,236.23,237.47,235.35,236.69,37228701
1591277400,236.32,237.79,233.68,235.03,38716097
1591363800,236.06,240.297,235.63,239.69,47365569
1591623000,239.54,241.68,237.91,241.55,32937305
1591709400,240.66,244.18,240.47,243.3,35046254
1591795800,245,247.815,244.51,246.22,58084410
1591882200,242.29,243.59,233.96,234.02,72919442
1591968600,239.09,240.4,231.74,235.88,72034787
1592227800,232.44,239.45,231.47,238.75,45307371
1592314200,243.78,244.39,239.1,242.85,48890095
1592400600,244.4,245.5,242.73,243.62,34749268
1592487000,243.29,244.53,242.49,244.28,30578648
1592573400,246.74,247,242.45,244.24,49422112
1592832600,243.77,246.87,243.38,246.74,24068676
1592919000,248.39,251.15,247.82,248.84,32767370
1593005400,247.99,249.325,242.16,243.71,46032376
1593091800,243.91,246.34,241.14,246.03,36940811
1593178200,245.75,245.96,239.68,240.22,52824554
1593437400,239.98,242.85,237.35,242.84,34377800
1593523800,242.77,248.16,242.58,247.6,38909219
1593610200,247.66,251.52,247.0802,250.49,34689213
1593696600,252.97,254.27,251.71,252.19,31956497
1594042200,255.46,258.928,255.43,258.39,34589049
1594128600,258.1,260.88,256.3,256.61,36578191
1594215000,258,260.02,256.5,259.99,30426273
1594301400,261.89,262.87,257.63,262.18,40312906
1594387800,262,264.23,259.26,263.97,32885298
1594647000,266.87,269.79,257.69,258.54,64108090
1594733400,256.07,260.79,252.76,260.37,72230512
1594819800,261.68,262.69,257.49,260.9,54523869
1594906200,257.97,259.78,255.62,259.12,47594111
1594992600,259.71,260.31,257.17,259.42,35137871
1595251800,260.12,267.43,258.79,266.78,40610128
1595338200,268.41,268.41,263.125,264,43442967
1595424600,264.46,265.89,262.55,264.93,29865519
1595511000,264.55,265.24,256.55,258.01,51363538
1595597400,254.12,256.93,251.32,255.56,54054536
1595856600,257.36,260.52,256.445,260.12,36445741
1595943000,259.33,259.85,256.51,256.81,31302390
1596029400,258.33,260.66,257.91,259.77,27556884
1596115800,257.78,261.71,256.55,261.13,41774456
1596202200,265.83,265.95,260.85,265.79,53756159
1596461400,268.05,270.15,267.87,269.38,32081566
1596547800,268.74,270.48,268.09,270.38,24911286
1596634200,270.83,271.52,269.96,271.05,21685921
1596720600,270.78,274.98,270.19,274.64,28048224
1596807000,274.04,274.8818,269.245,271.47,44969356
1597066200,271.74,271.98,266.67,270.31,35088373
1597152600,269.1,270.44,264.63,265.19,43104323
1597239000,267.37,272.84,267.37,271.86,38894272
1597325400,272.64,274.83,271.51,272.48,31895717
1597411800,273.01,273.4,270.72,272.16,30799494
1597671000,273.91,275.84,272.1978,275.32,24802966
1597757400,276.41,278.465,274.91,277.97,23529498
1597843800,277.93,279.02,275.57,276.1,31999359
1597930200,275.3,280.43,274.86,279.93,27723379
1598016600,280.07,282.34,279.461,281.87,34748934
1598275800,285.06,286,281.27,283.63,36418533
1598362200,282.78,286.06,282.37,285.86,34866586
1598448600,287.11,292.22,285.829,291.96,42216690
1598535000,293.08,293.851,288.705,291.05,49482715
1598621400,292.27,293.18,290.93,292.53,28021022
1598880600,293.16,296.745,292.62,294.88,36321027
1598967000,297.6,300.04,295.79,299.92,36395774
1599053400,303.26,303.5,296.89,302.76,50836767
1599139800,298.2,298.62,284.41,287.41,110083282
1599226200,285.76,288.93,271.8,283.58,123958978
1599571800,272.27,278.22,269.66,269.95,99568645
1599658200,275.54,280.045,273,277.88,64837872
1599744600,280.97,282.195,270.56,272.34,69667462
1599831000,274.33,275.22,266.9,270.45,71809014
1600090200,274.28,277.22,272.96,275.16,38525194
1600176600,278.9,280.45,275.1332,279.06,41849926
1600263000,279.77,280.36,274.25,274.61,42435626
1600349400,267.52,274.3955,266.68,270.32,81570844
1600435800,271.62,272.09,262.63,266.87,86251117
1600695000,262.52,267.65,260.11,267.51,57168570
1600781400,270.05,273.08,266.54,272.48,41128886
1600867800,272.15,272.34,263.2502,264.16,48837270
1600954200,261.58,268.7,261.22,265.39,70631704
1601040600,265.82,272.395,264.2999,271.56,55242376
1601299800,276.615,277.2,271.674,277.2,58438286
1601386200,276.72,277.71,275.3719,275.95,27178921
1601472600,276.09,281.09,275.8717,277.84,49380802
1601559000,281.79,282.8794,279.84,282.25,50020223
1601645400,276.01,282.2412,273.44,274.31,75497391
1601904600,276.34,280.49,276.23,280.16,28184581
1601991000,279.29,281.19,274.25,275.16,49704236
1602077400,277.83,280.74,277.28,279.92,27539663
1602163800,282.32,282.47,280.31,281.41,25443287
1602250200,283.09,285.79,282.71,285.71,30201144
1602509400,290.6,297.46,289.47,294.53,79370657
1602595800,296.34,297.0496,293.11,294.52,64240031
1602682200,295.32,296.35,290.26,292.06,37181227
1602768600,287.25,290.71,286.54,290.1,42514177
1602855000,291.8,293.269,288.15,288.51,40570702
1603114200,290.49,291.48,282.79,283.8,36756754
1603200600,284.56,287.62,282.95,284.41,32195361
1603287000,284.67,287.32,283.69,284.19,29306137
1603373400,285.05,285.98,280.82,284.18,32196162
1603459800,284.79,284.91,281.7818,284.74,24658542
1603719000,282.32,285.3,276.76,280.47,38421094
1603805400,281.42,283.505,280.2,282.66,30559123
1603891800,278.13,278.6401,271.38,271.64,53413523
1603978200,273.04,279.49,272.52,276.39,43246302
1604064600,274.375,275.24,267.07,269.38,65935893
1604327400,271.73,273.52,266.97,269.98,39987409
1604413800,271.86,276.82,270.84,274.65,43604145
1604500200,283.56,288.77,281.87,286.91,75728206
1604586600,293.41,295.39,292,294.39,52054186
1604673000,293.58,295.36,289.83,294.61,40959764
1604932200,297.31,299.14,288.12,288.59,86537071
1605018600,285.26,286.6599,280.62,283.42,69024878
1605105000,285.92,290.25,283.38,289.76,36102931
1605191400,290.72,292.074,287.25,288.4,34516826
1605277800,290.01,291.57,287.8701,290.93,24880582
1605537000,290.68,293.51,289.99,293.2,30168361
1605623400,293.4,293.74,291.61,292.27,21843463
1605709800,291.7,293.37,290.02,290.11,28069619
1605796200,289.48,292.7,288.85,292.38,22718422
1605882600,292.3,293.065,290.29,290.38,25907308
1606141800,291.41,292.75,288.07,290.39,26875588
1606228200,291.49,294.98,289.63,294.47,24516791
1606314600,295.44,296.94,294.59,296.28,23326826
1606487400,298.29,300.17,297.9,299.01,17163115
1606746600,299.3,299.97,294.78,299.62,27836232
1606833000,301.87,305.14,300.83,303.46,27642640
1606919400,302.22,304.195,300.35,303.85,23620003
1607005800,304.07,305.88,303.531,304.28,22828727
1607092200,304.33,305.67,303.63,305.52,19332081
1607351400,305.71,307.63,305.52,307.25,20850969
1607437800,306.76,308.6,304.95,308.29,18341464
1607524200,308.07,308.36,300.21,301.31,48839306
1607610600,299.21,303.68,298.09,302.52,27519544
1607697000,300.81,301.98,298.47,301.85,26760416
1607956200,303.08,306.05,303.01,304.04,28804832
1608042600,306.37,307.29,304.11,307.29,25790455
1608129000,307.7,309.785,306.621,308.98,25461890
1608215400,310.63,311.24,309.39,311,23730524
1608301800,311.66,311.98,307.61,310.06,41173392
1608561000,306.46,309.47,303.6,308.92,37095480
1608647400,309.85,310.7105,306.845,309.76,26378343
1608733800,309.81,310.18,308.035,308.2,21201280
1608820200,308.47,310.02,308.39,309.56,16784997
1609165800,312.25,313.17,310.36,312.68,22497745
1609252200,314.05,314.685,312.03,312.96,25871925
1609338600,314.16,314.49,312.33,312.97,18138071
1609425000,312.87,314.24,311.76,313.74,21611412
1609770600,315.11,315.29,305.18,309.31,45305898
1609857000,308.29,312.14,308.29,311.86,29323409
1609943400,307,311.88,305.98,307.54,52809622
1610029800,310.28,315.84,310.25,314.98,30394826
1610116200,317.34,319.39,315.0814,319.03,33955847
1610375400,315.98,317.19,313.75,314.42,32869095
1610461800,314.46,315.58,311.2,313.92,29266762
1610548200,314.19,316.86,313.57,316.04,22898417
1610634600,316.5,317.53,313.8616,314.35,23500129
1610721000,314.13,315.12,310.58,311.86,35118718
1611066600,314.25,316.93,313.12,316.41,24537049
1611153000,320.14,324.74,316.509,323.77,30728096
1611239400,325.15,327.13,323.73,326.36,25316935
1611325800,325.29,326.46,324.71,325.42,21609444
1611585000,328.91,330.32,321.41,328.11,39080644
1611671400,328.85,329.76,327.22,328.59,25498112
1611757800,326.26,326.27,317.36,319.43,55263985
1611844200,320.67,326.42,320.03,321.32,42836324
1611930600,319.58,320.7193,312.76,314.56,55259018
1612189800,318.11,323.54,316.02,322.42,35646008
1612276200,325.48,328.87,325.31,327.68,33930844
1612362600,329.82,330.195,326.32,326.38,24824518
1612449000,327.82,330.33,326.46,330.24,22350947
1612535400,331.22,332.4025,329.53,331.36,22731960
1612794600,333.1,333.74,331.41,333.58,20462812
1612881000,332.62,334.81,332.61,333.51,17597478
1612967400,334.99,335.46,329.5,332.75,28068700
1613053800,334.33,335,332.12,334.58,22046071
1613140200,333.71,336.62,332.63,336.45,20346819
1613485800,337.27,338.19,334.34,335.54,27080777
1613572200,332.47,335.657,330.17,333.93,31467456
1613658600,330.23,333.8661,328.36,332.47,32236240
1613745000,333.86,333.99,329.97,331.02,39157677
1614004200,326.5,327.8,322.23,322.44,47256944
1614090600,317,323.2,311,321.48,97241936
1614177000,318.74,324.45,315.96,324.13,58206272
1614263400,321.39,324.03,311.24,312.83,110182582
1614349800,315.85,319.11,310.88,314.14,104739841
1614609000,319.27,323.94,317.935,323.59,49164518
